sample_hap_chrom	sample_hap	sample	hap	chrom	start	end	len	project	gapless	CL	filterflag
CHM13#chr1	CHM13_-	CHM13	-	chr1	121619171	143914148	22294977	Ref	1	248387328	0
CN1#Mat#chr1	CN1_Mat	CN1	Mat	chr1	121976286	148013087	26036801	Ref	1	252017988	0
CN1#Pat#chr1	CN1_Pat	CN1	Pat	chr1	121946730	150370324	28423594	Ref	1	254657616	0
HG002#Mat#chr1	HG002_Mat	HG002	Mat	chr1	121778664	139217855	17439191	Ref	1	244022132	0
HG002#Pat#chr1	HG002_Pat	HG002	Pat	chr1	121871790	147763383	25891593	Ref	1	252060642	0
YAO#Mat#chr1	YAO_Mat	YAO	Mat	chr1	121991461	139227691	17236230	Ref	1	243724521	0
YAO#Pat#chr1	YAO_Pat	YAO	Pat	chr1	121769025	144012806	22243781	Ref	1	248343476	0
C001-CHA-E01#Mat#chr1	C001-CHA-E01_Mat	C001-CHA-E01	Mat	chr1	121713897	141187324	19473427	APG	1	246409129	0
C002-CHA-E02#Mat#chr1	C002-CHA-E02_Mat	C002-CHA-E02	Mat	chr1	121783425	140397449	18614024	APG	1	244800361	0
C003-CHA-E03#Mat#chr1	C003-CHA-E03_Mat	C003-CHA-E03	Mat	chr1	121977146	141861878	19884732	APG	1	246319375	0
C004-CHA-E04#Mat#chr1	C004-CHA-E04_Mat	C004-CHA-E04	Mat	chr1	121841651	141360761	19519110	APG	0	245672459	1
C005-CHA-E05#Mat#chr1	C005-CHA-E05_Mat	C005-CHA-E05	Mat	chr1	121972882	137116967	15144085	APG	1	241378603	0
C006-CHA-E06#Mat#chr1	C006-CHA-E06_Mat	C006-CHA-E06	Mat	chr1	122045750	138898809	16853059	APG	1	243331502	0
C007-CHA-E07#Mat#chr1	C007-CHA-E07_Mat	C007-CHA-E07	Mat	chr1	121709852	141301812	19591960	APG	1	245752689	0
C008-CHA-E08#Mat#chr1	C008-CHA-E08_Mat	C008-CHA-E08	Mat	chr1	121960698	141170994	19210296	APG	1	245576602	0
C009-CHA-E09#Mat#chr1	C009-CHA-E09_Mat	C009-CHA-E09	Mat	chr1	121963172	146291302	24328130	APG	1	250585739	0
C010-CHA-E10#Mat#chr1	C010-CHA-E10_Mat	C010-CHA-E10	Mat	chr1	121625341	139936493	18311152	APG	1	244515301	0
C011-CHA-E11#Mat#chr1	C011-CHA-E11_Mat	C011-CHA-E11	Mat	chr1	122185441	133720689	11535248	APG	1	237973537	0
C012-CHA-E12#Mat#chr1	C012-CHA-E12_Mat	C012-CHA-E12	Mat	chr1	122049609	141167296	19117687	APG	1	245568268	0
C013-CHA-E13#Mat#chr1	C013-CHA-E13_Mat	C013-CHA-E13	Mat	chr1	121958348	143576127	21617779	APG	1	247835997	0
C014-CHA-E14#Mat#chr1	C014-CHA-E14_Mat	C014-CHA-E14	Mat	chr1	121455022	134962647	13507625	APG	1	239362665	0
C015-CHA-E15#Mat#chr1	C015-CHA-E15_Mat	C015-CHA-E15	Mat	chr1	121690225	153807879	32117654	APG	1	258215889	0
C016-CHA-E16#Mat#chr1	C016-CHA-E16_Mat	C016-CHA-E16	Mat	chr1	121830773	145189762	23358989	APG	1	249846025	0
C017-CHA-E17#Mat#chr1	C017-CHA-E17_Mat	C017-CHA-E17	Mat	chr1	122159207	151691754	29532547	APG	1	256153477	0
C018-CHA-E18#Mat#chr1	C018-CHA-E18_Mat	C018-CHA-E18	Mat	chr1	122086604	144569127	22482523	APG	1	248917751	0
C019-CHA-E19#Mat#chr1	C019-CHA-E19_Mat	C019-CHA-E19	Mat	chr1	122324985	141661418	19336433	APG	1	249564620	0
C020-CHA-E20#Mat#chr1	C020-CHA-E20_Mat	C020-CHA-E20	Mat	chr1	121825258	143997494	22172236	APG	1	248574703	0
C021-CHA-S01#Mat#chr1	C021-CHA-S01_Mat	C021-CHA-S01	Mat	chr1	121767441	136925059	15157618	APG	0	241301587	1
C021-CHA-S01_2#Mat#chr1	C021-CHA-S01_2_Mat	C021-CHA-S01_2	Mat	chr1	121757901	143161621	21403720	APG	1	247110611	0
C022-CHA-S02#Mat#chr1	C022-CHA-S02_Mat	C022-CHA-S02	Mat	chr1	122343668	142121024	19777356	APG	1	246763757	0
C022-CHA-S02_2#Mat#chr1	C022-CHA-S02_2_Mat	C022-CHA-S02_2	Mat	chr1	121598630	134945997	13347367	APG	1	239590620	0
C023-CHA-S03#Mat#chr1	C023-CHA-S03_Mat	C023-CHA-S03	Mat	chr1	121870163	143989534	22119371	APG	1	248299168	0
C023-CHA-S03_2#Mat#chr1	C023-CHA-S03_2_Mat	C023-CHA-S03_2	Mat	chr1	121898866	145152054	23253188	APG	1	249468891	0
C024-CHA-S04#Mat#chr1	C024-CHA-S04_Mat	C024-CHA-S04	Mat	chr1	121684337	144199283	22514946	APG	1	248643310	0
C024-CHA-S04_2#Mat#chr1	C024-CHA-S04_2_Mat	C024-CHA-S04_2	Mat	chr1	122152606	142622773	20470167	APG	1	247178453	0
C025-CHA-S05#Mat#chr1	C025-CHA-S05_Mat	C025-CHA-S05	Mat	chr1	121723718	142630117	20906399	APG	1	247124032	0
C026-CHA-S06#Mat#chr1	C026-CHA-S06_Mat	C026-CHA-S06	Mat	chr1	121793034	141234812	19441778	APG	1	245722023	0
C027-CHA-S07#Mat#chr1	C027-CHA-S07_Mat	C027-CHA-S07	Mat	chr1	121221893	142725663	21503770	APG	0	247007968	1
C028-CHA-S08#Mat#chr1	C028-CHA-S08_Mat	C028-CHA-S08	Mat	chr1	121801356	146217377	24416021	APG	1	250655009	0
C029-CHA-S09#Mat#chr1	C029-CHA-S09_Mat	C029-CHA-S09	Mat	chr1	121918927	142891505	20972578	APG	1	247241523	0
C030-CHA-S10#Mat#chr1	C030-CHA-S10_Mat	C030-CHA-S10	Mat	chr1	121687009	139588702	17901693	APG	1	244010664	0
C035-CHA-S15#Mat#chr1	C035-CHA-S15_Mat	C035-CHA-S15	Mat	chr1	121698878	138797721	17098843	APG	1	243211962	0
C036-CHA-S16#Mat#chr1	C036-CHA-S16_Mat	C036-CHA-S16	Mat	chr1	121842482	148731092	26888610	APG	0	253205064	1
C037-CHA-S17#Mat#chr1	C037-CHA-S17_Mat	C037-CHA-S17	Mat	chr1	121830825	136905269	15074444	APG	1	241311976	0
C038-CHA-S18#Mat#chr1	C038-CHA-S18_Mat	C038-CHA-S18	Mat	chr1	121467936	142022121	20554185	APG	1	246969837	0
C039-CHA-S19#Mat#chr1	C039-CHA-S19_Mat	C039-CHA-S19	Mat	chr1	121858975	145718450	23859475	APG	0	250120841	1
C040-CHA-S20#Mat#chr1	C040-CHA-S20_Mat	C040-CHA-S20	Mat	chr1	122109168	147001290	24892122	APG	1	251672164	0
C041-CHA-N01#Mat#chr1	C041-CHA-N01_Mat	C041-CHA-N01	Mat	chr1	121540819	144549204	23008385	APG	1	249106556	0
C042-CHA-N02#Mat#chr1	C042-CHA-N02_Mat	C042-CHA-N02	Mat	chr1	122015540	141117852	19102312	APG	1	245540804	0
C043-CHA-N03#Mat#chr1	C043-CHA-N03_Mat	C043-CHA-N03	Mat	chr1	121635073	140774292	19139219	APG	1	245154722	0
C044-CHA-N04#Mat#chr1	C044-CHA-N04_Mat	C044-CHA-N04	Mat	chr1	121664847	141381156	19716309	APG	1	245652257	0
C045-CHA-N05#Mat#chr1	C045-CHA-N05_Mat	C045-CHA-N05	Mat	chr1	122156922	141604798	19447876	APG	1	246114633	0
C046-CHA-N06#Mat#chr1	C046-CHA-N06_Mat	C046-CHA-N06	Mat	chr1	121685176	140680907	18995731	APG	0	244818143	1
C047-CHA-N07#Mat#chr1	C047-CHA-N07_Mat	C047-CHA-N07	Mat	chr1	121532072	140303980	18771908	APG	1	244838032	0
